School,Conference,State
Memphis,FBS - AAC,Tennessee
Cincinnati,FBS - AAC,Ohio
UCF,FBS - AAC,Florida
East Carolina,FBS - AAC,North Carolina
Houston,FBS - AAC,Texas
Temple,FBS - AAC,Pennsylvania
South Florida,FBS - AAC,Florida
Tulane,FBS - AAC,Louisiana
Tulsa,FBS - AAC,Oklahoma
SMU,FBS - AAC,Texas
Connecticut,FBS - AAC,Connecticut
Navy,FBS - AAC,Maryland
Florida State,ACC,Florida
Clemson,ACC,South Carolina
Louisville,ACC,Kentucky
Boston College,ACC,Massachusetts
NC State,ACC,North Carolina
Wake Forest,ACC,North Carolina
Syracuse,ACC,New York
Georgia Tech,ACC,Georgia
Duke,ACC,North Carolina
North Carolina,ACC,North Carolina
Pitt,ACC,Pennsylvania
Virginia Tech,ACC,Virginia
Miami (FL),ACC,Florida
Virginia,ACC,Virginia
Baylor,Big 12,Texas
TCU,Big 12,Texas
Kansas State,Big 12,Kansas
Oklahoma,Big 12,Oklahoma
Texas,Big 12,Texas
West Virginia,Big 12,West Virginia
Oklahoma State,Big 12,Oklahoma
Texas Tech,Big 12,Texas
Kansas,Big 12,Kansas
Iowa State,Big 12,Iowa
Ohio State,Big Ten,Ohio
Michigan State,Big Ten,Michigan
Maryland,Big Ten,Maryland
Rutgers,Big Ten,New Jersey
Michigan,Big Ten,Michigan
Penn State,Big Ten,Pennsylvania
Indiana,Big Ten,Indiana
Wisconsin,Big Ten,Wisconsin
Minnesota,Big Ten,Minnesota
Nebraska,Big Ten,Nebraska
Iowa,Big Ten,Iowa
Illinois,Big Ten,Illinois
Northwestern,Big Ten,Illinois
Purdue,Big Ten,Indiana
Oregon,Pac 12,Oregon
Stanford,Pac 12,California
Washington,Pac 12,Washington
California,Pac 12,California
Washington State,Pac 12,Washington
Oregon State,Pac 12,Oregon
Arizona,Pac 12,Arizona
UCLA,Pac 12,California
Arizona State,Pac 12,Arizona
USC,Pac 12,California
Utah,Pac 12,Utah
Colorado,Pac 12,Colorado
Missouri,SEC,Missouri
Georgia,SEC,Georgia
Florida,SEC,Florida
Tennessee,SEC,Tennessee
South Carolina,SEC,South Carolina
Kentucky,SEC,Kentucky
Vanderbilt,SEC,Tennessee
Alabama,SEC,Alabama
Mississippi State,SEC,Mississippi
Ole Miss,SEC,Mississippi
Auburn,SEC,Alabama
LSU,SEC,Louisiana
Texas A&M,SEC,Texas
Arkansas,SEC,Arkansas
Fresno State,FBS - Mountain West,California
San Diego State,FBS - Mountain West,California
Nevada,FBS - Mountain West,Nevada
Hawaii,FBS - Mountain West,Hawaii
San Jose State,FBS - Mountain West,California
UNLV,FBS - Mountain West,Nevada
Boise State,FBS - Mountain West,Idaho
Colorado State,FBS - Mountain West,Colorado
Utah State,FBS - Mountain West,Utah
Air Force,FBS - Mountain West,Colorado
New Mexico,FBS - Mountain West,New Mexico
Wyoming,FBS - Mountain West,Wyoming
Notre Dame,FBS - Independent,Indiana
BYU,FBS - Independent,Utah
Army,FBS - Independent,Kansas
Marshall,FBS - CUSA,West Virginia
Middle Tennessee,FBS - CUSA,Tennessee
UAB,FBS - CUSA,Alabama
Western Kentucky,FBS - CUSA,Kentucky
Old Dominion,FBS - CUSA,Virginia
Florida International,FBS - CUSA,Florida
Florida Atlantic,FBS - CUSA,Florida
Charlotte,FBS - CUSA,North Carolina
Louisiana Tech,FBS - CUSA,Louisiana
Rice,FBS - CUSA,Texas
UTEP,FBS - CUSA,Texas
UTSA,FBS - CUSA,Texas
North Texas,FBS - CUSA,Texas
Southern Miss,FBS - CUSA,Mississippi
Bowling Green,FBS - MAC,Ohio
Ohio,FBS - MAC,Ohio
Buffalo,FBS - MAC,New York
Akron,FBS - MAC,Ohio
Massachusetts,FBS - MAC,Massachusetts
Miami (OH),FBS - MAC,Ohio
Kent State,FBS - MAC,Ohio
Northern Illinois,FBS - MAC,Illinois
Toledo,FBS - MAC,Ohio
Western Michigan,FBS - MAC,Michigan
Central Michigan,FBS - MAC,Michigan
Ball State,FBS - MAC,Indiana
Eastern Michigan,FBS - MAC,Michigan
Georgia Southern,FBS - Sun Belt,Georgia
Louisiana-Lafayette,FBS - Sun Belt,Louisiana
Appalachian State,FBS - Sun Belt,North Carolina
Texas State,FBS - Sun Belt,Texas
Arkansas State,FBS - Sun Belt,Arkansas
South Alabama,FBS - Sun Belt,Alabama
Louisiana-Monroe,FBS - Sun Belt,Louisiana
Troy,FBS - Sun Belt,Alabama
New Mexico State,FBS - Sun Belt,New Mexico
Idaho,FBS - Sun Belt,Idaho
Georgia State,FBS - Sun Belt,Georgia
Abilene Christian,FCS,Texas
Alabama A&M,FCS,Alabama
Alabama State,FCS,Alabama
Albany,FCS,New York
Alcorn State,FCS,Mississippi
Arkansas-Pine Bluff,FCS,Arkansas
Austin Peay,FCS,Tennessee
